service_name,service_url,Topic,Subtopic
Mackenzie Health,https://211ontario.ca/service/92298646/mackenzie-health-domestic-abuse-and-sexual-assault-care-centre-counselling-services/?searchLocation=Toronto&topicPath=3&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Abuse / Assault,Counselling for abused people
Carefirst Seniors and Community Services Association,https://211ontario.ca/service/69799869/carefirst-seniors-and-community-services-association-mississauga-community-services-centre/?searchLocation=Toronto&topicPath=3&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Abuse / Assault,Counselling for abused people
Carefirst Seniors and Community Services Association,https://211ontario.ca/service/69799860/carefirst-seniors-and-community-services-association-york-region-richmond-hill-one-stop-access-multi-services-centre/?searchLocation=Toronto&topicPath=3&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Abuse / Assault,Counselling for abused people
Men and Healing,https://211ontario.ca/service/68968450/men-and-healing-men-and-healing/?searchLocation=Toronto&topicPath=3&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Abuse / Assault,Counselling for abused people
Centre for Abuse and Trauma Therapy,https://211ontario.ca/service/68954139/centre-for-abuse-and-trauma-therapy-centre-for-abuse-and-trauma-therapy/?searchLocation=Toronto&topicPath=3&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Abuse / Assault,Counselling for abused people
Christian Counselling Ottawa,https://211ontario.ca/service/68967672/christian-counselling-ottawa-christian-counselling-ottawa/?searchLocation=Toronto&topicPath=3&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Abuse / Assault,Counselling for abused people
Tungasuvvingat Inuit,https://211ontario.ca/service/93564139/tungasuvvingat-inuit-violence-against-women-program/?searchLocation=Toronto&topicPath=3&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Abuse / Assault,Counselling for abused people
Ernestine's Women's Shelter,https://211ontario.ca/service/69795138/ernestines-womens-shelter-ernestines-womens-shelter/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
Homeward Family Shelter,https://211ontario.ca/service/69795312/homeward-family-shelter-julliettes-place/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
"Ontario. Ministry of Children, Community and Social Services. Support Services for Male Survivors of Sexual Abuse Program",https://211ontario.ca/service/69799237/ontario-ministry-of-children-community-and-social-services-support-services-for-male-survivors-of-sexual-abuse-program-ontario-ministry-of-children-community-and-social-services-support-services-for-male-survivors-of-sexual-abuse-program/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
Toronto Rape Crisis Centre / Multicultural Women Against Rape,https://211ontario.ca/service/69797755/toronto-rape-crisis-centre--multicultural-women-against-rape-toronto-rape-crisis-centre--multicultural-women-against-rape/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
Fem'aide : Francophone helpline for women affected by violence,https://211ontario.ca/service/69800881/femaide--francophone-helpline-for-women-affected-by-violence-femaide--francophone-helpline-for-women-affected-by-violence/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
Assaulted Women's Helpline,https://211ontario.ca/service/70496891/assaulted-womens-helpline-seniors-safety-line/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
Assaulted Women's Helpline,https://211ontario.ca/service/70496984/assaulted-womens-helpline-assaulted-womens-helpline/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
Canadian Centre to End Human Trafficking,https://211ontario.ca/service/71210879/canadian-centre-to-end-human-trafficking-canadian-human-trafficking-hotline/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
Interval House,https://211ontario.ca/service/72776300/interval-house-emergency-shelter/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
Dr Roz's Healing Place,https://211ontario.ca/service/72776375/dr-rozs-healing-place-shelter-and-supportive-services/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
Women's Habitat of Etobicoke,https://211ontario.ca/service/74847618/womens-habitat-of-etobicoke-emergency-vaw-shelter/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
The Redwood...for Women and Children Fleeing Abuse,https://211ontario.ca/service/75843418/the-redwoodfor-women-and-children-fleeing-abuse-the-redwood-shelter/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
YWCA Toronto - Shelter and Supports,https://211ontario.ca/service/75998519/ywca-toronto-shelter-and-supports-ywca-arise/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
YWCA Toronto - Shelter and Supports,https://211ontario.ca/service/76034960/ywca-toronto-shelter-and-supports-ywca-womens-shelter/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
Yorktown Family Services,https://211ontario.ca/service/76050682/yorktown-family-services-violence-against-women-services/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
Victim Services Toronto,https://211ontario.ca/service/72794144/victim-services-toronto-victim-crisis-response-program-toronto/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
Ontario Network of Sexual Assault / Domestic Violence Treatment Centres,https://211ontario.ca/service/69799162/ontario-network-of-sexual-assault--domestic-violence-treatment-centres-ontario-network-of-sexual-assault--domestic-violence-treatment-centres/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
Carefirst Seniors and Community Services Association,https://211ontario.ca/service/69799857/carefirst-seniors-and-community-services-association-south-toronto-office--helena-lam-community-services-centre/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
"Canada. Immigration, Refugees and Citizenship Canada, Greater Toronto Area",https://211ontario.ca/service/78214834/canada-immigration-refugees-and-citizenship-canada-greater-toronto-area-citizenship-and-immigration-centre-etobicoke-office/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
Carefirst Seniors and Community Services Association,https://211ontario.ca/service/69799866/carefirst-seniors-and-community-services-association-administrative-office--north-toronto-office/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
Elder Abuse Prevention Ontario,https://211ontario.ca/service/93394234/elder-abuse-prevention-ontario-elder-abuse-prevention-ontario/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
"Canada. Immigration, Refugees and Citizenship Canada, Greater Toronto Area",https://211ontario.ca/service/78215739/canada-immigration-refugees-and-citizenship-canada-greater-toronto-area-citizenship-and-immigration-centre-scarborough-office/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
Embrave: Agency to End Violence,https://211ontario.ca/service/79290004/embrave-agency-to-end-violence-emergency-shelter-and-community-support-programs/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
Yellow Brick House,https://211ontario.ca/service/76246372/yellow-brick-house-shelters-and-community-supports/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
Jewish Family and Child Service,https://211ontario.ca/service/69795491/jewish-family-and-child-service-york-region-family-resource-centre/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Crisis lines for abused people
Carefirst Seniors and Community Services Association,https://211ontario.ca/service/69799869/carefirst-seniors-and-community-services-association-mississauga-community-services-centre/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Abuse / Assault,Crisis lines for abused people
Carefirst Seniors and Community Services Association,https://211ontario.ca/service/69799860/carefirst-seniors-and-community-services-association-york-region-richmond-hill-one-stop-access-multi-services-centre/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Abuse / Assault,Crisis lines for abused people
Bullying Canada,https://211ontario.ca/service/71096349/bullying-canada-bullying-canada/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Abuse / Assault,Crisis lines for abused people
Fem'aide - Ligne de soutien pour les femmes touchées par la violence,https://211ontario.ca/service/68969198/femaide-ligne-de-soutien-pour-les-femmes-touchees-par-la-violence-femaide-ligne-de-soutien-pour-les-femmes-touchees-par-la-violence/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Abuse / Assault,Crisis lines for abused people
Talk4Healing,https://211ontario.ca/service/65303148/talk4healing-telephone-helpline-and-on-line-chat-counselling-services/?searchLocation=Toronto&topicPath=4&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Abuse / Assault,Crisis lines for abused people
Ontario. Ministry of the Attorney General,https://211ontario.ca/service/69796365/ontario-ministry-of-the-attorney-general-independent-legal-advice-for-survivors-of-sexual-assault-program/?searchLocation=Toronto&topicPath=5&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Sexual assault support
"Ontario. Ministry of Children, Community and Social Services. Support Services for Male Survivors of Sexual Abuse Program",https://211ontario.ca/service/69799237/ontario-ministry-of-children-community-and-social-services-support-services-for-male-survivors-of-sexual-abuse-program-ontario-ministry-of-children-community-and-social-services-support-services-for-male-survivors-of-sexual-abuse-program/?searchLocation=Toronto&topicPath=5&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Sexual assault support
Toronto Rape Crisis Centre / Multicultural Women Against Rape,https://211ontario.ca/service/69797755/toronto-rape-crisis-centre--multicultural-women-against-rape-toronto-rape-crisis-centre--multicultural-women-against-rape/?searchLocation=Toronto&topicPath=5&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Sexual assault support
Fem'aide : Francophone helpline for women affected by violence,https://211ontario.ca/service/69800881/femaide--francophone-helpline-for-women-affected-by-violence-femaide--francophone-helpline-for-women-affected-by-violence/?searchLocation=Toronto&topicPath=5&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Sexual assault support
Assaulted Women's Helpline,https://211ontario.ca/service/70496984/assaulted-womens-helpline-assaulted-womens-helpline/?searchLocation=Toronto&topicPath=5&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Sexual assault support
Oasis Centre des femmes,https://211ontario.ca/service/69800203/oasis-centre-des-femmes-oasis-centre-des-femmes/?searchLocation=Toronto&topicPath=5&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Sexual assault support
Hassle Free Clinic,https://211ontario.ca/service/93014665/hassle-free-clinic-hassle-free-clinic/?searchLocation=Toronto&topicPath=5&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Sexual assault support
Family Service Toronto,https://211ontario.ca/service/69795166/family-service-toronto-counselling-and-support-services/?searchLocation=Toronto&topicPath=5&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Sexual assault support
Family Service Toronto,https://211ontario.ca/service/69795162/family-service-toronto-mental-health-walk-in-counselling/?searchLocation=Toronto&topicPath=5&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Sexual assault support
Family Service Toronto,https://211ontario.ca/service/69795164/family-service-toronto-david-kelley-lgbtq--hivaids-counselling-services/?searchLocation=Toronto&topicPath=5&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Sexual assault support
Family Service Toronto,https://211ontario.ca/service/93592801/family-service-toronto-support-services-for-male-survivors-of-sexual-abuse/?searchLocation=Toronto&topicPath=5&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Sexual assault support
Native Child and Family Services of Toronto,https://211ontario.ca/service/93564038/native-child-and-family-services-of-toronto-support-services-for-male-survivors-of-sexual-abuse/?searchLocation=Toronto&topicPath=5&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Abuse / Assault,Sexual assault support
